-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         2.50%       4.815ms        25.97%      50.086ms      40.360us       0.000us         0.00%      11.476ms       9.248us           0 b           0 b     120.55 Mb           0 b          1241  
                                            aten::addmm         9.49%      18.309ms        14.86%      28.657ms      32.977us       9.128ms        28.12%       9.128ms      10.504us           0 b           0 b     103.12 Mb    -765.88 Mb           869  
                     aten::scaled_dot_product_attention         0.90%       1.736ms         4.92%       9.495ms      51.050us       0.000us         0.00%       3.907ms      21.005us         104 b      -2.70 Kb       4.36 Mb           0 b           186  
          aten::_scaled_dot_product_efficient_attention         0.75%       1.451ms         4.02%       7.759ms      41.715us       0.000us         0.00%       3.907ms      21.005us       2.91 Kb           0 b       4.36 Mb           0 b           186  
                     aten::_efficient_attention_forward         1.17%       2.251ms         2.63%       5.077ms      27.293us       3.907ms        12.04%       3.907ms      21.005us       2.91 Kb         104 b       4.36 Mb           0 b           186  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       3.907ms        12.04%       3.907ms      21.005us           0 b           0 b           0 b           0 b           186  
                                              aten::mul         5.86%      11.305ms        10.05%      19.375ms      10.959us       3.905ms        12.03%       3.905ms       2.208us           0 b           0 b     186.17 Mb     186.17 Mb          1768  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us       3.838ms        11.82%       3.838ms       6.516us           0 b           0 b           0 b           0 b           589  
                                              aten::add         5.42%      10.442ms         9.40%      18.120ms      10.523us       3.249ms        10.01%       3.249ms       1.887us           0 b           0 b      87.16 Mb      87.16 Mb          1722  
