-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                m3_current_full_forward         0.00%       0.000us         0.00%       0.000us       0.000us      20.783ms      1046.64%      20.783ms      20.783ms           0 b           0 b           0 b           0 b             1                                                                                []  
                                            aten::addmm         0.14%      37.383us         0.25%      63.958us      63.958us     337.507us        17.00%     337.507us     337.507us           0 b           0 b     768.00 Kb    -256.00 Kb             1                                       [[384], [512, 50257], [50257, 384], [], []]  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     336.643us        16.95%     336.643us     336.643us           0 b           0 b           0 b           0 b             1                                                                                []  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     269.765us        13.59%     269.765us       4.150us           0 b           0 b           0 b           0 b            65                                                                                []  
                                              aten::cat         2.48%     639.539us         3.82%     985.987us      14.500us     267.326us        13.46%     267.326us       3.931us           0 b           0 b      32.50 Mb      32.50 Mb            68                                                                          [[], []]  
                                            aten::addmm         0.08%      20.386us         0.11%      29.572us      29.572us     208.290us        10.49%     208.290us     208.290us           0 b           0 b      98.16 Mb      97.16 Mb             1                                       [[50257], [512, 384], [384, 50257], [], []]  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     208.290us        10.49%     208.290us     208.290us           0 b           0 b           0 b           0 b             1                                                                                []  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     142.816us         7.19%     142.816us       4.761us           0 b           0 b           0 b           0 b            30                                                                                []  
                                              aten::mul         1.25%     322.182us         2.09%     539.624us      11.242us     131.748us         6.63%     131.748us       2.745us           0 b           0 b      18.00 Mb      18.00 Mb            48                                                   [[1, 256, 6, 64], [256, 1, 64]]  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     118.686us         5.98%     118.686us       3.297us           0 b           0 b           0 b           0 b            36                                                                                []  
                                     triton_tem_fused_0         0.51%     131.851us         0.68%     176.110us      29.352us     117.152us         5.90%     117.152us      19.525us           0 b           0 b           0 b           0 b             6  [[1, 6, 512, 64], [1, 6, 512, 64], [1, 6, 512, 64], [1, 6, 512], [1, 1, 8], [1,   
                                     triton_tem_fused_0         0.00%       0.000us         0.00%       0.000us       0.000us     117.152us         5.90%     117.152us      19.525us           0 b           0 b           0 b           0 b             6                                                                                []  
                                            aten::copy_         0.95%     244.187us         1.89%     488.192us      10.171us     115.645us         5.82%     115.645us       2.409us           0 b           0 b           0 b           0 b            48                                                  [[256, 2, 32], [256, 2, 32], []]  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     115.645us         5.82%     115.645us       2.409us           0 b           0 b           0 b           0 b            48                                                                                []  
sm90_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize128x6...         0.00%       0.000us         0.00%       0.000us       0.000us     105.922us         5.33%     105.922us       8.827us           0 b           0 b           0 b           0 b            12                                                                                []  
                                              aten::mul         0.04%       9.217us         0.05%      13.806us      13.806us      90.177us         4.54%      90.177us      90.177us           0 b           0 b      98.16 Mb      98.16 Mb             1                                                    [[1, 512, 50257], [1, 512, 1]]  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us      87.969us         4.43%      87.969us       6.284us           0 b           0 b           0 b           0 b            14                                                                                []  
sm90_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize64x64...         0.00%       0.000us         0.00%       0.000us       0.000us      77.441us         3.90%      77.441us      11.063us           0 b           0 b           0 b           0 b             7                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      71.907us         3.62%      71.907us       1.754us           0 b           0 b           0 b           0 b            41                                                                                []  
                                            aten::addmm         0.52%     133.227us         0.87%     225.636us      37.606us      69.569us         3.50%      69.569us      11.595us           0 b           0 b       4.50 Mb      -1.50 Mb             6                                         [[384], [512, 1536], [1536, 384], [], []]  
                                              aten::mul         0.77%     199.587us         1.23%     318.552us      12.252us      64.897us         3.27%      64.897us       2.496us           0 b           0 b      19.50 Mb      19.50 Mb            26                                                    [[1, 512, 384], [1, 512, 384]]  
                                              aten::add         0.66%     171.560us         1.16%     299.722us      11.101us      64.355us         3.24%      64.355us       2.384us           0 b           0 b      20.25 Mb      20.25 Mb            27                                                [[1, 512, 384], [1, 512, 384], []]  
                                              aten::neg         0.75%     192.520us         1.18%     305.919us      12.747us      60.929us         3.07%      60.929us       2.539us           0 b           0 b       4.50 Mb       4.50 Mb            24                                                                 [[1, 256, 6, 32]]  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      60.929us         3.07%      60.929us       2.539us           0 b           0 b           0 b           0 b            24                                                                                []  
                                            aten::addmm         1.07%     275.542us         1.50%     387.467us      64.578us      55.681us         2.80%      55.681us       9.280us           0 b           0 b      18.00 Mb      12.00 Mb             6                                         [[1536], [512, 384], [384, 1536], [], []]  
                                            aten::addmm         0.57%     147.071us         0.95%     244.779us      40.797us      53.344us         2.69%      53.344us       8.891us           0 b           0 b      28.86 Mb      22.86 Mb             6                                         [[2304], [512, 128], [128, 2304], [], []]  
sm90_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize128x1...         0.00%       0.000us         0.00%       0.000us       0.000us      53.344us         2.69%      53.344us       8.891us           0 b           0 b           0 b           0 b             6                                                                                []  
                                aten::native_layer_norm         0.68%     174.325us         1.61%     414.746us      31.904us      50.944us         2.57%      50.944us       3.919us           0 b           0 b       9.80 Mb           0 b            13                                             [[1, 512, 384], [], [384], [384], []]  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us      50.944us         2.57%      50.944us       3.919us           0 b           0 b           0 b           0 b            13                                                                                []  
                                               aten::mm         0.66%     170.531us         0.95%     246.423us      41.071us      50.241us         2.53%      50.241us       8.373us           0 b           0 b      13.50 Mb      13.50 Mb             6                                                         [[512, 384], [384, 1152]]  
                                               aten::mm         0.72%     185.506us         0.87%     225.335us      37.556us      41.760us         2.10%      41.760us       6.960us           0 b           0 b       4.50 Mb       4.50 Mb             6                                                          [[512, 384], [384, 384]]  
                                              aten::add         0.52%     133.206us         0.89%     230.235us       9.593us      41.185us         2.07%      41.185us       1.716us           0 b           0 b       9.00 Mb       9.00 Mb            24                                            [[1, 256, 6, 64], [1, 256, 6, 64], []]  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      38.434us         1.94%      38.434us       2.956us           0 b           0 b           0 b           0 b            13                                                                                []  
                                              aten::add         0.47%     122.585us         0.79%     204.826us      14.630us      37.441us         1.89%      37.441us       2.674us           0 b           0 b      10.50 Mb      10.50 Mb            14                                                           [[1, 512, 384], [], []]  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      35.553us         1.79%      35.553us       2.735us           0 b           0 b           0 b           0 b            13                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      28.129us         1.42%      28.129us       2.009us           0 b           0 b           0 b           0 b            14                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.730us         1.09%      21.730us       3.104us           0 b           0 b           0 b           0 b             7                                                                                []  
                                             aten::gelu         0.22%      55.912us         0.35%      91.158us      15.193us      19.361us         0.98%      19.361us       3.227us           0 b           0 b      18.00 Mb      18.00 Mb             6                                                              [[1, 512, 1536], []]  
                                            aten::addmm         3.10%     799.499us         3.47%     896.540us     448.270us      12.448us         0.63%      12.448us       6.224us           0 b           0 b     512.00 Kb      -1.50 Mb             2                                           [[128], [512, 256], [256, 128], [], []]  
                                            aten::addmm         0.54%     139.712us         0.78%     201.464us     100.732us       9.888us         0.50%       9.888us       4.944us           0 b           0 b     512.00 Kb      -1.50 Mb             2                                           [[128], [512, 128], [128, 128], [], []]  
                                            aten::addmm         0.12%      29.746us         0.19%      48.022us      24.011us       9.856us         0.50%       9.856us       4.928us           0 b           0 b       1.50 Mb    -512.00 Kb             2                                           [[384], [512, 128], [128, 384], [], []]  
                                            aten::addmm         0.07%      17.627us         0.11%      27.496us      27.496us       8.417us         0.42%       8.417us       8.417us           0 b           0 b       1.84 Mb     862.00 Kb             1                                           [[768], [512, 384], [384, 768], [], []]  
                                            aten::addmm         0.24%      63.236us         0.33%      85.990us      85.990us       7.872us         0.40%       7.872us       7.872us           0 b           0 b     768.00 Kb    -256.00 Kb             1                                           [[384], [512, 768], [768, 384], [], []]  
                                             aten::silu         0.27%      70.613us         0.46%     119.453us      29.863us       7.360us         0.37%       7.360us       1.840us           0 b           0 b       1.00 Mb       1.00 Mb             4                                                                      [[512, 128]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.360us         0.37%       7.360us       1.840us           0 b           0 b           0 b           0 b             4                                                                                []  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       5.824us         0.29%       5.824us       2.912us           0 b           0 b           0 b           0 b             2                                                                                []  
                                            aten::addmm         0.07%      17.405us         0.10%      25.648us      25.648us       5.600us         0.28%       5.600us       5.600us           0 b           0 b       1.84 Mb     862.00 Kb             1                                           [[768], [512, 128], [128, 768], [], []]  
                                              aten::mul         0.75%     194.121us         1.51%     389.288us     194.644us       5.056us         0.25%       5.056us       2.528us           0 b           0 b     512.00 Kb     512.00 Kb             2                                                              [[512, 1], [1, 128]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.960us         0.25%       4.960us       1.653us           0 b           0 b           0 b           0 b             3                                                                                []  
                                              aten::cos         0.40%     103.516us         0.57%     146.161us      73.080us       4.864us         0.24%       4.864us       2.432us           0 b           0 b     512.00 Kb     512.00 Kb             2                                                                      [[512, 128]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.864us         0.24%       4.864us       2.432us           0 b           0 b           0 b           0 b             2                                                                                []  
                                              aten::sin         0.22%      56.962us         0.28%      71.593us      35.796us       4.576us         0.23%       4.576us       2.288us           0 b           0 b     512.00 Kb     512.00 Kb             2                                                                      [[512, 128]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.576us         0.23%       4.576us       2.288us           0 b           0 b           0 b           0 b             2                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.479us         0.23%       4.479us       1.493us           0 b           0 b           0 b           0 b             3                                                                                []  
                                             aten::mean         0.09%      23.437us         0.12%      32.182us      32.182us       3.904us         0.20%       3.904us       3.904us           0 b           0 b       2.00 Kb       2.00 Kb             1                                                       [[1, 512, 384], [], [], []]  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.904us         0.20%       3.904us       3.904us           0 b           0 b           0 b           0 b             1                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.264us         0.16%       3.264us       1.632us           0 b           0 b           0 b           0 b             2                                                                                []  
                                              aten::mul         0.02%       5.186us         0.04%       9.471us       9.471us       3.040us         0.15%       3.040us       3.040us           0 b           0 b     768.00 Kb     768.00 Kb             1                                                            [[1, 512, 384], [384]]  
                                              aten::mul         0.03%       7.074us         0.05%      12.008us      12.008us       2.976us         0.15%       2.976us       2.976us           0 b           0 b     768.00 Kb     768.00 Kb             1                                                      [[1, 512, 384], [1, 512, 1]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.784us         0.14%       2.784us       1.392us           0 b           0 b           0 b           0 b             2                                                                                []  
                                              aten::pow         4.00%       1.032ms         4.06%       1.049ms     524.568us       2.719us         0.14%       2.719us       1.359us           0 b           0 b       4.00 Kb       4.00 Kb             2                                                                    [[1, 512], []]  
                                             aten::gelu         0.04%      11.244us         0.07%      17.642us      17.642us       2.369us         0.12%       2.369us       2.369us           0 b           0 b       1.50 Mb       1.50 Mb             1                                                               [[1, 512, 768], []]  
                                              aten::mul         0.03%       8.743us         0.05%      13.644us      13.644us       1.984us         0.10%       1.984us       1.984us           0 b           0 b     768.00 Kb     768.00 Kb             1                                                               [[1, 512, 384], []]  
                                              aten::pow         0.03%       8.809us         0.06%      14.268us      14.268us       1.760us         0.09%       1.760us       1.760us           0 b           0 b     768.00 Kb     768.00 Kb             1                                                               [[1, 512, 384], []]  
                                              aten::sub         0.37%      96.583us         0.41%     105.401us     105.401us       1.665us         0.08%       1.665us       1.665us           0 b           0 b       2.00 Kb       2.00 Kb             1                                                          [[1, 512], [1, 512], []]  
                                              aten::add         0.04%      10.810us         0.06%      16.047us      16.047us       1.600us         0.08%       1.600us       1.600us           0 b           0 b     256.00 Kb     256.00 Kb             1                                                      [[512, 128], [512, 128], []]  
                                             aten::add_         0.09%      22.220us         0.11%      28.712us      28.712us       1.568us         0.08%       1.568us       1.568us           0 b           0 b           0 b           0 b             1                                                             [[1, 512, 1], [], []]  
                                              aten::add         0.02%       5.663us         0.04%       9.712us       9.712us       1.536us         0.08%       1.536us       1.536us           0 b           0 b       2.00 Kb       2.00 Kb             1                                                          [[1, 512], [1, 512], []]  
                                              aten::sub         0.06%      14.373us         0.08%      21.017us      21.017us       1.505us         0.08%       1.505us       1.505us           0 b           0 b       2.00 Kb       2.00 Kb             1                                                                [[], [1, 512], []]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.505us         0.08%       1.505us       1.505us           0 b           0 b           0 b           0 b             1                                                                                []  
                                              aten::add         0.03%       7.505us         0.05%      13.024us      13.024us       1.504us         0.08%       1.504us       1.504us           0 b           0 b       2.00 Kb       2.00 Kb             1                                                                [[1, 512], [], []]  
                                            aten::rsqrt         0.03%       8.374us         0.05%      13.867us      13.867us       1.408us         0.07%       1.408us       1.408us           0 b           0 b       2.00 Kb       2.00 Kb             1                                                                        [[1, 512]]  
                                            aten::rsqrt         0.03%       7.464us         0.05%      12.366us      12.366us       1.376us         0.07%       1.376us       1.376us           0 b           0 b       2.00 Kb       2.00 Kb             1                                                                     [[1, 512, 1]]  
                                              aten::mul         0.04%      10.120us         0.06%      16.747us      16.747us       1.280us         0.06%       1.280us       1.280us           0 b           0 b       2.00 Kb       2.00 Kb             1                                                                    [[1, 512], []]  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       0.864us         0.04%       0.864us       0.864us           0 b           0 b           0 b           0 b             1                                                                                []  
                                m3_current_full_forward        32.15%       8.300ms        99.79%      25.762ms      25.762ms       0.000us         0.00%       1.986ms       1.986ms           0 b           0 b           0 b    -428.62 Mb             1                                                                                []  
                                          aten::reshape         0.03%       7.771us         0.09%      23.395us      11.698us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2                                                                    [[1, 512], []]  
                                             aten::view         0.06%      15.624us         0.06%      15.624us       7.812us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2                                                                    [[1, 512], []]  
                                           Unrecognized         9.66%       2.493ms         9.66%       2.493ms       2.493ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1                                                                                []  
                                            aten::slice         2.25%     580.737us         2.27%     586.798us     293.399us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2                                                           [[512], [], [], [], []]  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 25.817ms
Self CUDA time total: 1.986ms

