-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                               m3_current_sequence_nfe1         0.00%       0.000us         0.00%       0.000us       0.000us     229.754ms       644.03%     229.754ms     229.754ms           0 b           0 b           0 b           0 b             1                                                                                []  
                                            aten::addmm         0.16%     360.837us         0.28%     651.777us      40.736us       5.430ms        15.22%       5.430ms     339.390us           0 b           0 b      12.00 Mb      -4.00 Mb            16                                       [[384], [512, 50257], [50257, 384], [], []]  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us       5.416ms        15.18%       5.416ms     338.508us           0 b           0 b           0 b           0 b            16                                                                                []  
                                              aten::cat         3.69%       8.568ms         6.17%      14.338ms      12.621us       5.397ms        15.13%       5.397ms       4.750us           0 b           0 b       2.04 Gb       2.04 Gb          1136                                                                          [[], []]  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.335ms        12.15%       4.335ms       4.168us           0 b           0 b           0 b           0 b          1040                                                                                []  
                                            aten::addmm         0.14%     315.479us         0.20%     465.956us      29.122us       3.351ms         9.39%       3.351ms     209.407us           0 b           0 b       1.53 Gb       1.52 Gb            16                                       [[50257], [512, 384], [384, 50257], [], []]  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.351ms         9.39%       3.351ms     209.407us           0 b           0 b           0 b           0 b            16                                                                                []  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       2.278ms         6.39%       2.278ms       4.747us           0 b           0 b           0 b           0 b           480                                                                                []  
                                              aten::mul         2.22%       5.148ms         3.70%       8.583ms      11.176us       2.113ms         5.92%       2.113ms       2.751us           0 b           0 b     288.00 Mb     288.00 Mb           768                                                   [[1, 256, 6, 64], [256, 1, 64]]  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.896ms         5.31%       1.896ms       3.291us           0 b           0 b           0 b           0 b           576                                                                                []  
                                     triton_tem_fused_0         0.85%       1.983ms         1.18%       2.749ms      28.630us       1.876ms         5.26%       1.876ms      19.544us           0 b           0 b           0 b           0 b            96  [[1, 6, 512, 64], [1, 6, 512, 64], [1, 6, 512, 64], [1, 6, 512], [1, 1, 8], [1,   
                                     triton_tem_fused_0         0.00%       0.000us         0.00%       0.000us       0.000us       1.876ms         5.26%       1.876ms      19.544us           0 b           0 b           0 b           0 b            96                                                                                []  
                                            aten::copy_         1.78%       4.127ms         3.58%       8.315ms      10.827us       1.842ms         5.16%       1.842ms       2.398us           0 b           0 b           0 b           0 b           768                                                  [[256, 2, 32], [256, 2, 32], []]  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.842ms         5.16%       1.842ms       2.398us           0 b           0 b           0 b           0 b           768                                                                                []  
sm90_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize128x6...         0.00%       0.000us         0.00%       0.000us       0.000us       1.695ms         4.75%       1.695ms       8.829us           0 b           0 b           0 b           0 b           192                                                                                []  
                                              aten::mul         0.06%     130.414us         0.09%     210.411us      13.151us       1.444ms         4.05%       1.444ms      90.258us           0 b           0 b       1.53 Gb       1.53 Gb            16                                                    [[1, 512, 50257], [1, 512, 1]]  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.420ms         3.98%       1.420ms       6.337us           0 b           0 b           0 b           0 b           224                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.259ms         3.53%       1.259ms       1.830us           0 b           0 b           0 b           0 b           688                                                                                []  
sm90_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize64x64...         0.00%       0.000us         0.00%       0.000us       0.000us       1.239ms         3.47%       1.239ms      11.064us           0 b           0 b           0 b           0 b           112                                                                                []  
                                            aten::addmm         1.03%       2.383ms         1.70%       3.947ms      41.110us       1.114ms         3.12%       1.114ms      11.599us           0 b           0 b      72.00 Mb     -24.00 Mb            96                                         [[384], [512, 1536], [1536, 384], [], []]  
                                              aten::mul         1.46%       3.391ms         2.34%       5.445ms      13.089us       1.055ms         2.96%       1.055ms       2.535us           0 b           0 b     312.00 Mb     312.00 Mb           416                                                    [[1, 512, 384], [1, 512, 384]]  
                                              aten::add         1.25%       2.892ms         2.15%       4.983ms      11.534us       1.048ms         2.94%       1.048ms       2.425us           0 b           0 b     324.00 Mb     324.00 Mb           432                                                [[1, 512, 384], [1, 512, 384], []]  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.030ms         2.89%       1.030ms      64.344us           0 b           0 b           0 b           0 b            16                                                                                []  
                                              aten::neg         1.15%       2.673ms         1.98%       4.602ms      11.984us     983.587us         2.76%     983.587us       2.561us           0 b           0 b      72.00 Mb      72.00 Mb           384                                                                 [[1, 256, 6, 32]]  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     983.587us         2.76%     983.587us       2.561us           0 b           0 b           0 b           0 b           384                                                                                []  
                                            aten::copy_         0.05%     106.160us         0.09%     209.711us      13.107us     907.462us         2.54%     907.462us      56.716us           0 b           0 b           0 b           0 b            16                                            [[1, 256, 50257], [1, 256, 50257], []]  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     907.462us         2.54%     907.462us      56.716us           0 b           0 b           0 b           0 b            16                                                                                []  
                                            aten::addmm         1.81%       4.210ms         2.62%       6.091ms      63.449us     890.306us         2.50%     890.306us       9.274us           0 b           0 b     314.08 Mb     218.08 Mb            96                                         [[1536], [512, 384], [384, 1536], [], []]  
                                            aten::addmm         1.06%       2.469ms         1.75%       4.063ms      42.327us     851.460us         2.39%     851.460us       8.869us           0 b           0 b     432.00 Mb     336.00 Mb            96                                         [[2304], [512, 128], [128, 2304], [], []]  
sm90_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize128x1...         0.00%       0.000us         0.00%       0.000us       0.000us     851.460us         2.39%     851.460us       8.869us           0 b           0 b           0 b           0 b            96                                                                                []  
                                aten::native_layer_norm         1.13%       2.627ms         2.78%       6.455ms      31.034us     818.720us         2.29%     818.720us       3.936us           0 b           0 b     156.81 Mb           0 b           208                                             [[1, 512, 384], [], [384], [384], []]  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us     818.720us         2.29%     818.720us       3.936us           0 b           0 b           0 b           0 b           208                                                                                []  
                                               aten::mm         1.01%       2.335ms         1.49%       3.469ms      36.134us     804.867us         2.26%     804.867us       8.384us           0 b           0 b     250.35 Mb     250.35 Mb            96                                                         [[512, 384], [384, 1152]]  
                                               aten::mm         1.29%       2.990ms         1.58%       3.663ms      38.156us     677.606us         1.90%     677.606us       7.058us           0 b           0 b      72.00 Mb      72.00 Mb            96                                                          [[512, 384], [384, 384]]  
                                            aten::fill_         0.07%     168.796us         0.15%     355.742us      11.117us     675.874us         1.89%     675.874us      21.121us           0 b           0 b           0 b           0 b            32                                                             [[1, 256, 50257], []]  
                                              aten::add         0.97%       2.255ms         1.67%       3.871ms      10.081us     654.851us         1.84%     654.851us       1.705us           0 b           0 b     144.00 Mb     144.00 Mb           384                                            [[1, 256, 6, 64], [1, 256, 6, 64], []]  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     620.710us         1.74%     620.710us       2.984us           0 b           0 b           0 b           0 b           208                                                                                []  
                                              aten::add         0.83%       1.938ms         1.32%       3.076ms      13.732us     607.148us         1.70%     607.148us       2.710us           0 b           0 b     168.00 Mb     168.00 Mb           224                                                           [[1, 512, 384], [], []]  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     577.388us         1.62%     577.388us       2.776us           0 b           0 b           0 b           0 b           208                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     453.501us         1.27%     453.501us       2.025us           0 b           0 b           0 b           0 b           224                                                                                []  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     447.874us         1.26%     447.874us      26.346us           0 b           0 b           0 b           0 b            17                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     348.675us         0.98%     348.675us       3.113us           0 b           0 b           0 b           0 b           112                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     326.561us         0.92%     326.561us       3.402us           0 b           0 b           0 b           0 b            96                                                                                []  
                                         aten::_softmax         0.06%     138.959us         0.10%     238.299us      14.894us     314.212us         0.88%     314.212us      19.638us           0 b           0 b      52.41 Mb      52.41 Mb            16                                                          [[1, 16, 50257], [], []]  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us     314.212us         0.88%     314.212us      19.638us           0 b           0 b           0 b           0 b            16                                                                                []  
                                             aten::gelu         0.38%     890.602us         0.59%       1.380ms      14.371us     306.051us         0.86%     306.051us       3.188us           0 b           0 b     289.66 Mb     289.66 Mb            96                                                              [[1, 512, 1536], []]  
                                           aten::argmax         0.14%     318.701us         0.18%     429.154us      26.822us     247.041us         0.69%     247.041us      15.440us           0 b           0 b       8.00 Kb       8.00 Kb            16                                                          [[1, 16, 50257], [], []]  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     247.041us         0.69%     247.041us      15.440us           0 b           0 b           0 b           0 b            16                                                                                []  
                                            aten::addmm         0.33%     769.941us         0.46%       1.078ms      33.703us     203.360us         0.57%     203.360us       6.355us           0 b           0 b       8.00 Mb     -24.00 Mb            32                                           [[128], [512, 256], [256, 128], [], []]  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     193.152us         0.54%     193.152us       3.018us           0 b           0 b           0 b           0 b            64                                                                                []  
                                            aten::addmm         0.21%     480.972us         0.33%     757.014us      23.657us     159.554us         0.45%     159.554us       4.986us           0 b           0 b      24.00 Mb      -8.00 Mb            32                                           [[384], [512, 128], [128, 384], [], []]  
                                            aten::addmm         0.24%     566.638us         0.38%     875.235us      27.351us     155.936us         0.44%     155.936us       4.873us           0 b           0 b       8.00 Mb     -24.00 Mb            32                                           [[128], [512, 128], [128, 128], [], []]  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     145.376us         0.41%     145.376us       4.543us           0 b           0 b           0 b           0 b            32                                                                                []  
                                            aten::addmm         0.10%     241.772us         0.16%     378.596us      23.662us     134.466us         0.38%     134.466us       8.404us           0 b           0 b      29.47 Mb      13.47 Mb            16                                           [[768], [512, 384], [384, 768], [], []]  
                                            aten::addmm         0.26%     593.770us         0.38%     890.703us      55.669us     125.598us         0.35%     125.598us       7.850us           0 b           0 b      12.00 Mb      -4.00 Mb            16                                           [[384], [512, 768], [768, 384], [], []]  
                                            aten::copy_         0.03%      65.376us         0.14%     336.415us      21.026us     121.854us         0.34%     121.854us       7.616us           0 b           0 b           0 b           0 b            16                                              [[1, 16, 50257], [1, 16, 50257], []]  
                                             aten::silu         0.18%     421.129us         0.32%     737.154us      11.518us     119.007us         0.33%     119.007us       1.859us           0 b           0 b      16.00 Mb      16.00 Mb            64                                                                      [[512, 128]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     119.007us         0.33%     119.007us       1.859us           0 b           0 b           0 b           0 b            64                                                                                []  
                                          aten::normal_         0.08%     177.898us         0.14%     314.453us      19.653us      97.919us         0.27%      97.919us       6.120us           0 b           0 b           0 b           0 b            16                                                      [[1, 16, 50257], [], [], []]  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us      97.919us         0.27%      97.919us       6.120us           0 b           0 b           0 b           0 b            16                                                                                []  
                                            aten::addmm         0.13%     310.399us         0.20%     468.322us      29.270us      88.608us         0.25%      88.608us       5.538us           0 b           0 b      29.47 Mb      13.47 Mb            16                                           [[768], [512, 128], [128, 768], [], []]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      87.389us         0.24%      87.389us       1.821us           0 b           0 b           0 b           0 b            48                                                                                []  
                                              aten::mul         0.12%     282.936us         0.20%     459.157us      14.349us      81.410us         0.23%      81.410us       2.544us           0 b           0 b       8.00 Mb       8.00 Mb            32                                                              [[512, 1], [1, 128]]  
                                              aten::cos         0.10%     221.314us         0.17%     384.724us      12.023us      78.562us         0.22%      78.562us       2.455us           0 b           0 b       8.00 Mb       8.00 Mb            32                                                                      [[512, 128]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      78.562us         0.22%      78.562us       2.455us           0 b           0 b           0 b           0 b            32                                                                                []  
                                              aten::sin         0.09%     209.603us         0.15%     354.348us      11.073us      75.199us         0.21%      75.199us       2.350us           0 b           0 b       8.00 Mb       8.00 Mb            32                                                                      [[512, 128]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      75.199us         0.21%      75.199us       2.350us           0 b           0 b           0 b           0 b            32                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      73.855us         0.21%      73.855us       1.539us           0 b           0 b           0 b           0 b            48                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      70.078us         0.20%      70.078us       1.460us           0 b           0 b           0 b           0 b            48                                                                                []  
                                              aten::sub         0.05%     116.627us         0.08%     186.457us      11.654us      65.824us         0.18%      65.824us       4.114us           0 b           0 b      52.41 Mb      52.41 Mb            16                                              [[1, 16, 50257], [1, 16, 50257], []]  
                                             aten::mean         0.10%     225.320us         0.14%     326.794us      20.425us      62.978us         0.18%      62.978us       3.936us           0 b           0 b      32.00 Kb      32.00 Kb            16                                                       [[1, 512, 384], [], [], []]  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      62.978us         0.18%      62.978us       3.936us           0 b           0 b           0 b           0 b            16                                                                                []  
                                            aten::fill_         0.07%     154.282us         0.19%     431.769us       8.812us      59.902us         0.17%      59.902us       1.222us           0 b           0 b           0 b           0 b            49                                                                    [[1, 256], []]  
                                         aten::scatter_         0.08%     189.851us         0.13%     302.715us      18.920us      56.544us         0.16%      56.544us       3.534us           0 b           0 b           0 b           0 b            16                                            [[1, 256, 50257], [], [1, 256, 1], []]  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      56.544us         0.16%      56.544us       3.534us           0 b           0 b           0 b           0 b            16                                                                                []  
                                              aten::mul         0.05%     110.439us         0.08%     179.272us      11.205us      48.417us         0.14%      48.417us       3.026us           0 b           0 b      12.00 Mb      12.00 Mb            16                                                      [[1, 512, 384], [1, 512, 1]]  
                                              aten::mul         0.04%      92.024us         0.07%     159.889us       9.993us      46.718us         0.13%      46.718us       2.920us           0 b           0 b      12.00 Mb      12.00 Mb            16                                                            [[1, 512, 384], [384]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      45.603us         0.13%      45.603us       1.425us           0 b           0 b           0 b           0 b            32                                                                                []  
                                              aten::pow         0.14%     324.291us         0.22%     510.764us      15.961us      43.133us         0.12%      43.133us       1.348us           0 b           0 b      64.00 Kb      64.00 Kb            32                                                                    [[1, 512], []]  
                                             aten::gelu         0.06%     132.569us         0.10%     227.351us      14.209us      42.624us         0.12%      42.624us       2.664us           0 b           0 b      29.47 Mb      29.47 Mb            16                                                               [[1, 512, 768], []]  
                                              aten::add         0.03%      79.076us         0.06%     145.486us       9.093us      41.471us         0.12%      41.471us       2.592us           0 b           0 b      52.41 Mb      52.41 Mb            16                                              [[1, 16, 50257], [1, 16, 50257], []]  
                                            aten::fill_         0.06%     135.125us         0.16%     369.981us      11.562us      38.659us         0.11%      38.659us       1.208us           0 b           0 b           0 b           0 b            32                                                                     [[1, 16], []]  
                                              aten::mul         0.05%     115.572us         0.08%     194.494us      12.156us      36.926us         0.10%      36.926us       2.308us           0 b           0 b      49.09 Mb      49.09 Mb            16                                                              [[1, 16, 50257], []]  
                                              aten::mul         0.07%     154.293us         0.10%     241.751us      15.109us      28.896us         0.08%      28.896us       1.806us           0 b           0 b      12.00 Mb      12.00 Mb            16                                                               [[1, 512, 384], []]  
                                              aten::pow         0.07%     151.365us         0.10%     241.296us      15.081us      26.945us         0.08%      26.945us       1.684us           0 b           0 b      12.00 Mb      12.00 Mb            16                                                               [[1, 512, 384], []]  
                                              aten::add         0.05%     104.716us         0.08%     182.566us      11.410us      24.737us         0.07%      24.737us       1.546us           0 b           0 b       4.00 Mb       4.00 Mb            16                                                      [[512, 128], [512, 128], []]  
                                            aten::copy_         0.04%      94.035us         0.15%     340.951us      21.309us      23.522us         0.07%      23.522us       1.470us           0 b           0 b           0 b           0 b            16                                                            [[1, 16], [1, 16], []]  
                                            aten::rsqrt         0.04%      98.630us         0.07%     172.692us      10.793us      22.979us         0.06%      22.979us       1.436us           0 b           0 b      32.00 Kb      32.00 Kb            16                                                                     [[1, 512, 1]]  
                                              aten::sub         0.06%     130.489us         0.09%     207.457us      12.966us      22.848us         0.06%      22.848us       1.428us           0 b           0 b      32.00 Kb      32.00 Kb            16                                                          [[1, 512], [1, 512], []]  
                                            aten::rsqrt         0.05%     121.058us         0.09%     205.608us      12.851us      22.624us         0.06%      22.624us       1.414us           0 b           0 b      32.00 Kb      32.00 Kb            16                                                                        [[1, 512]]  
                                              aten::sub         0.07%     152.124us         0.10%     241.039us      15.065us      22.208us         0.06%      22.208us       1.388us           0 b           0 b      32.00 Kb      32.00 Kb            16                                                                [[], [1, 512], []]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.208us         0.06%      22.208us       1.388us           0 b           0 b           0 b           0 b            16                                                                                []  
                                              aten::add         0.04%      82.550us         0.07%     154.084us       9.630us      22.177us         0.06%      22.177us       1.386us           0 b           0 b      32.00 Kb      32.00 Kb            16                                                          [[1, 512], [1, 512], []]  
                                             aten::add_         0.08%     174.691us         0.11%     244.409us      15.276us      22.048us         0.06%      22.048us       1.378us           8 b           8 b           0 b           0 b            16                                                             [[1, 512, 1], [], []]  
                                              aten::add         0.04%     102.288us         0.08%     176.369us      11.023us      22.047us         0.06%      22.047us       1.378us           0 b           0 b      32.00 Kb      32.00 Kb            16                                                                [[1, 512], [], []]  
                                              aten::mul         0.05%     118.383us         0.08%     196.853us      12.303us      21.567us         0.06%      21.567us       1.348us           0 b           0 b      32.00 Kb      32.00 Kb            16                                                                    [[1, 512], []]  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      14.113us         0.04%      14.113us       0.882us           0 b           0 b           0 b           0 b            16                                                                                []  
                               m3_current_sequence_nfe1        29.69%      68.960ms       100.00%     232.267ms     232.267ms       0.000us         0.00%      35.675ms      35.675ms           0 b          -8 b           0 b     -11.59 Gb             1                                                                                []  
                                           Unrecognized         1.74%       4.041ms         1.74%       4.041ms       2.021ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2                                                                                []  
                                         aten::linspace         0.01%      24.460us         0.03%      58.560us      58.560us       0.000us         0.00%       0.000us       0.000us           8 b           0 b           0 b           0 b             1                                                      [[], [], [], [], [], [], []]  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 232.278ms
Self CUDA time total: 35.675ms

