model,point,steps_per_block,old_mauve,new_mauve,delta_mauve,old_gen_ppl,new_gen_ppl,delta_gen_ppl
M2,argmax_nfe1,1,0.004903456557565718,0.00490529741976047,1.8408621947517065e-06,51.850895571382694,51.679738154332185,-0.1711574170505088
M2,argmax_nfe2,2,0.005312871226306532,0.005312871226306533,8.673617379884035e-19,60.659494403080345,60.64743129257257,-0.012063110507774866
M2,argmax_nfe4,4,0.00570506346612207,0.0057050634661220696,-8.673617379884035e-19,149.89432170781393,149.78251480969445,-0.11180689811948241
M2,argmax_nfe8,8,0.006243845254475832,0.007283148015806401,0.0010393027613305687,255.1698925046549,255.0718024108386,-0.0980900938163245
M2,argmax_nfe16,16,0.016447851302077106,0.012421423966828642,-0.0040264273352484635,255.9048330677128,255.57611315594633,-0.32871991176645565
M2,argmax_nfe32,32,0.026722074242979496,0.021911146829291073,-0.004810927413688423,223.68432159162094,223.2867250633504,-0.3975965282705545
M3,argmax_nfe1,1,0.008084836234186167,0.00803926045893483,-4.557577525133617e-05,49.38856533240175,49.33553208423126,-0.05303324817048605
M3,argmax_nfe2,2,0.010402908953385435,0.010371744759023496,-3.116419436193993e-05,49.995013603118636,49.90838773257819,-0.0866258705404448
M3,argmax_nfe4,4,0.03340694855397677,0.04588509345452388,0.012478144900547106,46.1118122842474,46.089655686217476,-0.022156598029923202
M3,argmax_nfe8,8,0.2820566098706738,0.22197887692683446,-0.06007773294383936,50.565056412052435,50.59195053844201,0.026894126389578332
M3,argmax_nfe16,16,0.7549683671617216,0.7033863243507747,-0.051582042810946804,58.12777867336284,58.16539357100516,0.037614897642320955
M3,argmax_nfe32,32,0.6443245889642973,0.6663492849290229,0.02202469596472556,61.83959462129952,61.63588033518937,-0.20371428611014863
