model_family,sampler,point,nfe,forwards_per_sequence_a100,sequence_latency_ms_a100,sequence_latency_p10_ms_a100,sequence_latency_p90_ms_a100,sequence_latency_repeats_a100,protocol_id_a100,forwards_per_sequence_h100,sequence_latency_ms_h100,sequence_latency_p10_ms_h100,sequence_latency_p90_ms_h100,sequence_latency_repeats_h100,protocol_id_h100,latency_gpu_name,checkpoint_sha256,a100_over_h100_speedup,h100_ms_per_forward
BD3-LM,bd3lm_ancestral,sample_nfe1,1.0,32.0,244.07617200631648,239.65716501697892,276.3494619866833,30.0,upstream_2e21c57_sequence_latency_v1,32,178.64071507938206,176.59998394083232,181.35190603788945,30,upstream_2e21c577_h100_fp32_b1_l256_v1,NVIDIA H100 NVL,c6d4ac8e5b265e565bed7819463a57be3058742eadb2696413cf288c0cd4644f,1.366296434146365,5.582522346230689
BD3-LM,bd3lm_ancestral,sample_nfe2,2.0,48.0,360.1426530512981,354.45871599949896,372.5023519946262,30.0,upstream_2e21c57_sequence_latency_v1,48,265.01545147039,261.49549800902605,268.25745997484773,30,upstream_2e21c577_h100_fp32_b1_l256_v1,NVIDIA H100 NVL,c6d4ac8e5b265e565bed7819463a57be3058742eadb2696413cf288c0cd4644f,1.3589496425703185,5.521155238966458
BD3-LM,bd3lm_ancestral,sample_nfe4,4.0,80.0,608.3197745028883,592.0558329671621,705.2767040440813,30.0,upstream_2e21c57_sequence_latency_v1,80,448.5736089409329,442.8507490083575,477.8388260165229,30,upstream_2e21c577_h100_fp32_b1_l256_v1,NVIDIA H100 NVL,c6d4ac8e5b265e565bed7819463a57be3058742eadb2696413cf288c0cd4644f,1.3561202941455042,5.607170111761661
BD3-LM,bd3lm_ancestral,sample_nfe8,8.0,144.0,1085.801213979721,1065.116088022478,1140.409259009175,30.0,upstream_2e21c57_sequence_latency_v1,144,835.2268744492903,809.2579670483246,881.3042849069461,30,upstream_2e21c577_h100_fp32_b1_l256_v1,NVIDIA H100 NVL,c6d4ac8e5b265e565bed7819463a57be3058742eadb2696413cf288c0cd4644f,1.3000075155575517,5.800186628120072
BD3-LM,bd3lm_ancestral,sample_nfe16,16.0,272.0,2081.9868035032414,2059.440231998451,2161.9650929933414,30.0,upstream_2e21c57_sequence_latency_v1,272,1508.3229019655846,1483.610505936667,1622.228057938628,30,upstream_2e21c577_h100_fp32_b1_l256_v1,NVIDIA H100 NVL,c6d4ac8e5b265e565bed7819463a57be3058742eadb2696413cf288c0cd4644f,1.3803322887891456,5.545304786638178
BD3-LM,bd3lm_ancestral,sample_nfe32,32.0,528.0,4037.252751993946,3970.600807922892,4225.220420048572,30.0,upstream_2e21c57_sequence_latency_v1,528,3032.757963053882,2947.937902994454,3173.9871370373294,30,upstream_2e21c577_h100_fp32_b1_l256_v1,NVIDIA H100 NVL,c6d4ac8e5b265e565bed7819463a57be3058742eadb2696413cf288c0cd4644f,1.331214953905709,5.7438597785111405
BD3-LM,bd3lm_first_hitting,sample_nfe256,256.0,272.0,2182.739845011384,2157.873930991628,2345.232527935877,30.0,upstream_2e21c57_sequence_latency_v1,272,1551.9011100404896,1533.9494950603694,1573.8816739758477,30,upstream_2e21c577_h100_fp32_b1_l256_v1,NVIDIA H100 NVL,c6d4ac8e5b265e565bed7819463a57be3058742eadb2696413cf288c0cd4644f,1.4064941579650239,5.705518786913565
MDLM,mdlm,sample_nfe16,16.0,17.0,195.424509991426,193.1746449554339,198.4277740120888,30.0,upstream_2e21c57_sequence_latency_v1,17,127.974450471811,125.9431120706722,132.11824605241418,30,upstream_2e21c577_h100_fp32_b1_l256_v1,NVIDIA H100 NVL,7b5e5cfc69094e7cd17f45aa8b7f2ae911f42bd55563d361814e6efde319ba7d,1.5270587939306859,7.527908851283
MDLM,mdlm,sample_nfe32,32.0,33.0,380.18113997532055,378.0244269873947,388.6836060555652,30.0,upstream_2e21c57_sequence_latency_v1,33,248.95840045064688,243.94158890936524,253.3650790574029,30,upstream_2e21c577_h100_fp32_b1_l256_v1,NVIDIA H100 NVL,7b5e5cfc69094e7cd17f45aa8b7f2ae911f42bd55563d361814e6efde319ba7d,1.52708701247736,7.544193953049906
MDLM,mdlm,sample_nfe64,64.0,65.0,746.5357040055096,733.7207070086151,753.9503310108557,30.0,upstream_2e21c57_sequence_latency_v1,65,482.9318565316498,474.8675590381026,490.9648780012503,30,upstream_2e21c577_h100_fp32_b1_l256_v1,NVIDIA H100 NVL,7b5e5cfc69094e7cd17f45aa8b7f2ae911f42bd55563d361814e6efde319ba7d,1.5458406686339277,7.4297208697176895
MDLM,mdlm,sample_nfe128,128.0,129.0,1384.9214015062898,1352.2620840230957,1419.35578500852,30.0,upstream_2e21c57_sequence_latency_v1,129,862.3414664762095,852.8527870075777,890.485221054405,30,upstream_2e21c577_h100_fp32_b1_l256_v1,NVIDIA H100 NVL,7b5e5cfc69094e7cd17f45aa8b7f2ae911f42bd55563d361814e6efde319ba7d,1.6060011669918897,6.684817569583019
MDLM,mdlm,sample_nfe256,256.0,257.0,2315.5660599586554,2261.444359086454,2359.779822989367,30.0,upstream_2e21c57_sequence_latency_v1,257,1503.7502740160562,1486.307334038429,1528.3978679217398,30,upstream_2e21c577_h100_fp32_b1_l256_v1,NVIDIA H100 NVL,7b5e5cfc69094e7cd17f45aa8b7f2ae911f42bd55563d361814e6efde319ba7d,1.5398607734078664,5.851168381385433
