dataset,model,recipe,block_size,steps_per_block,nfe_total,n_seeds_ppl,gen_ppl_mean,gen_ppl_std,gen_nll_mean,gen_nll_std,n_seeds_latency,sequence_latency_ms_median,sequence_latency_p10_ms_median,sequence_latency_p90_ms_median
text8,AR,AR,1,1,256.0,3,67.44299825032552,0.7931609281127269,4.211213278625402,0.011803480305115783,1,4687.786163529381,3871.5323749929667,5184.067335911095
text8,BD3LM,BD3LM B16,16,1,16.0,3,767.7983805338541,6.189000854053023,6.643494759033668,0.008047072165080644,1,458.9695285540074,453.5824931226671,483.329214155674
text8,BD3LM,BD3LM B16,16,2,32.0,3,895.6650187174479,12.394855257524059,6.797470102174234,0.01390606381660569,1,692.4201510846615,684.8711958155036,705.1309333182871
text8,BD3LM,BD3LM B16,16,4,64.0,3,901.6187947591146,7.511949251369664,6.804156962413553,0.008356454167280628,1,1485.795630607754,1304.1433906182647,1692.6355734467506
text8,BD3LM,BD3LM B16,16,8,128.0,3,766.9167073567709,4.978514176675254,6.64235719096896,0.006477422199995631,1,2670.486801536754,2493.148166220635,2848.3775430358946
text8,BD3LM,BD3LM B16,16,16,256.0,3,623.0231323242188,17.285043195221863,6.43419626378385,0.027880031269535054,1,4949.425809783861,4662.786800879985,5331.933720037341
text8,M1,M1,256,1,1.0,3,1065.472412109375,11.65790858540811,6.971113394628726,0.01098340598114071,1,10.524535784497857,10.264534037560225,10.695470962673426
text8,M1,M1,256,2,2.0,3,1062.3231608072917,11.402036106800125,6.968156026911274,0.010708387135330191,1,21.12361043691635,20.831875037401915,21.616287995129824
text8,M1,M1,256,4,4.0,3,1045.17724609375,11.387323022581013,6.951882225408033,0.010920740364375703,1,42.37527493387461,41.49569803848863,43.15045103430748
text8,M1,M1,256,8,8.0,3,972.9609985351562,22.286552164989843,6.880084222029281,0.022737318058662925,1,82.27932848967612,81.70040091499686,83.52527115494013
text8,M1,M1,256,16,16.0,3,875.0368245442709,11.593409994090344,6.774177685991849,0.01330734290399741,1,167.12112771347165,165.38398014381528,168.68928400799632
text8,M2,M2 B16,16,1,31.0,3,752.2143147786459,8.654782111713333,6.62295543053528,0.011460652162418388,1,327.2218438796699,322.3225111141801,332.4498888105154
text8,M2,M2 B16,16,2,47.0,3,695.3168334960938,4.9287869386032925,6.544342410219361,0.007106141282549917,1,495.6344636157155,490.1491506025195,499.52318891882896
text8,M2,M2 B16,16,4,79.0,3,798.3564860026041,8.158785041220378,6.682503228007795,0.010186419866265436,1,846.8028230126947,840.3091677464545,855.0205072388053
text8,M2,M2 B16,16,8,143.0,3,867.7469685872396,8.306320534119923,6.765854500453681,0.00954820781681383,1,1483.9484323747456,1467.502913903445,1492.4538983032107
text8,M2,M2 B16,16,16,271.0,3,871.9368693033854,12.978152293233638,6.770606531771167,0.014856138408903513,1,2876.5831352211535,2842.7080092951655,2906.9106010720134
text8,M2,M2 B32,32,1,15.0,3,851.4490559895834,16.986993026713122,6.746739376826037,0.020046552012616126,1,163.9696538913995,161.84696089476347,165.49218678846955
text8,M2,M2 B32,32,2,23.0,3,806.9475911458334,1.6194038018729664,6.6932567096355795,0.0020068497817993737,1,245.55389094166458,241.98976112529635,248.63395793363452
text8,M2,M2 B32,32,4,39.0,3,848.0986735026041,4.195801863651774,6.742984752649815,0.004946918019478065,1,413.5056771337986,406.38452395796776,417.7819499745965
text8,M2,M2 B32,32,8,71.0,3,889.8080444335938,3.167346994853362,6.790999418798413,0.003561662533009086,1,747.5604005157948,738.0037610419095,755.6058098562062
text8,M2,M2 B32,32,16,135.0,3,880.541748046875,6.941154291506505,6.780506255976704,0.007885754871114366,1,1466.7986640706658,1451.697810087353,1484.6242209896445
text8,M2,M2 B64,64,1,7.0,3,957.1672770182291,18.65562881103907,6.863789107995759,0.019422787701732,1,74.52825899235904,73.67506623268127,75.62545407563448
text8,M2,M2 B64,64,2,11.0,3,896.3840942382812,6.833461358791984,6.798339963621374,0.007618692585000012,1,115.85708591155708,114.01764024049044,117.14514391496778
text8,M2,M2 B64,64,4,19.0,3,910.2062581380209,9.517831680175558,6.813616602554519,0.010450527164041053,1,199.29557666182518,197.29003682732582,201.14927412942052
text8,M2,M2 B64,64,8,35.0,3,926.5673828125,16.301359011069472,6.8313322267766035,0.017574759031129688,1,369.8482948821038,365.12885708361864,375.70291804149747
text8,M2,M2 B64,64,16,67.0,3,885.1990559895834,9.89854755058589,6.7857497259024315,0.011221666333487531,1,713.1915218196809,706.4821231178939,720.5782518722117
text8,M2,M2 B128,128,1,3.0,3,1029.4247233072917,0.8513768914448966,6.936755062103778,0.0008270945171610547,1,31.412014737725258,31.031861901283264,32.63442497700453
text8,M2,M2 B128,128,2,5.0,3,1009.2330322265625,6.486193124548775,6.916925232706535,0.006441401452099203,1,52.120305597782135,51.71019583940506,52.79756989330053
text8,M2,M2 B128,128,4,9.0,3,988.84326171875,15.42696367735654,6.89641423654995,0.0155918847563838,1,93.46113190986216,91.91736113280058,94.90334801375866
text8,M2,M2 B128,128,8,17.0,3,944.1968180338541,10.141575783211254,6.850276915400087,0.010746349329737006,1,177.2967823781073,175.2069848589599,179.5951332896948
text8,M2,M2 B128,128,16,33.0,3,867.1465657552084,15.597951011739637,6.765046568070989,0.017959757545297775,1,344.67466245405376,341.6840289719403,348.4447752125561
text8,M3,M3 B16,16,1,31.0,3,559.4130249023438,1.4121434122769823,6.326884877809633,0.00252448847322766,1,326.9591082353145,322.6287318393588,329.6903339214623
text8,M3,M3 B16,16,2,47.0,3,634.5856119791666,5.538593625778615,6.452934092407858,0.008732334846991631,1,493.7803561333567,490.2534866705537,497.3418670706451
text8,M3,M3 B16,16,4,79.0,3,712.2618611653646,4.117777198364745,6.568428871205358,0.005792568318108207,1,828.5000489559025,820.1517607085407,835.0115111097693
text8,M3,M3 B16,16,8,143.0,3,733.0690307617188,8.019769815692317,6.597180318615179,0.010900539354046255,1,1482.8546307981014,1471.754842903465,1510.5549711734056
text8,M3,M3 B16,16,16,271.0,3,731.2727864583334,12.069280056210564,6.594649367337751,0.01659446534091783,1,2808.593780035153,2771.314543671906,2833.846903871745
text8,MDLM,MDLM,256,1,2.0,3,439.68275960286456,2.308344589856439,6.086039717777026,0.00524053321066177,1,34.42698158323765,33.254207111895084,36.41489986330271
text8,MDLM,MDLM,256,2,3.0,3,1024.4246215820312,5.6311523728670325,6.931871241754621,0.005507658858007968,1,44.17223948985338,42.84801473841071,47.62104619294405
text8,MDLM,MDLM,256,4,5.0,3,1358.6516520182292,12.828711765518369,7.214203670241378,0.009411435938817688,1,77.07166159525514,74.01845511049032,79.98100901022553
text8,MDLM,MDLM,256,8,9.0,3,1456.3120524088542,9.788321772406492,7.2836398762811125,0.0067354046439155515,1,134.82265220955014,131.3493219204247,141.100509557873
text8,MDLM,MDLM,256,16,17.0,3,1360.4953206380208,7.5864274470988935,7.215588605244175,0.0055671761296711185,1,257.6500573195517,253.4422753378749,264.9047109298408
text8,MDLM,MDLM,256,32,33.0,3,1294.9922281901042,3.7299786847733913,7.166255819001135,0.0028832375391641537,1,587.3732422478497,533.8854710571468,637.0693109929562
text8,MDLM,MDLM,256,64,65.0,3,1252.6082356770833,15.263891196578564,7.132908785538278,0.012211991594679122,1,991.9236621353775,946.7801959253848,1017.6540440879762
text8,MDLM,MDLM,256,128,129.0,3,1188.704345703125,6.842454404431627,7.080602674611598,0.0057473953620508465,1,2108.5630857851356,1904.6171722002327,2678.121082019061
