dataset,model,recipe,block_size,steps_per_block,nfe_total,n_seeds_ppl,gen_ppl_mean,gen_ppl_std,gen_nll_mean,gen_nll_std,n_seeds_latency,sequence_latency_ms_median,sequence_latency_p10_ms_median,sequence_latency_p90_ms_median
tinystories,AR,AR,1,1,256.0,3,12.609448432922363,0.13214208315630296,2.5343916442354395,0.010458579924669299,1,3363.6278363410383,3304.0427858941257,3379.634120967239
tinystories,M1,M1,256,1,1.0,3,88.01673380533855,0.27569417157987997,4.477522041462413,0.0031352547980295306,1,7.851026486605406,7.781522814184427,7.886937819421291
tinystories,M1,M1,256,2,2.0,3,83.4869867960612,0.4609266814756706,4.424675502225786,0.005529177581324067,1,16.8475778773427,16.59200480207801,17.73627381771803
tinystories,M1,M1,256,4,4.0,3,75.04028065999348,0.39335442500599754,4.318011288959359,0.005246789359033461,1,24.552504066377878,24.348496925085783,25.77170403674245
tinystories,M1,M1,256,8,8.0,3,78.52232615152995,0.7670172413088462,4.363335127117882,0.009792452870417554,1,45.950813917443156,45.81696121022105,48.14789118245244
tinystories,M1,M1,256,16,16.0,3,89.16212209065755,1.0634385613209878,4.490384907561432,0.011961517737634632,1,88.96975708194077,88.7640560977161,93.12248416244984
tinystories,M2,M2 B16,16,1,31.0,3,50.09634017944336,0.3493328419488396,3.9139235723087373,0.0069882407012783025,1,176.03384447284043,174.95456477627158,182.02234897762537
tinystories,M2,M2 B16,16,2,47.0,3,60.86647288004557,1.5215244286166054,4.108373541902265,0.024787419862412233,1,269.2903990391642,267.3074919730425,279.23445822671056
tinystories,M2,M2 B16,16,4,79.0,3,151.3500213623047,4.633675459319025,5.019131998748662,0.030345864378469728,1,450.63445228151977,444.7898459620774,454.81429621577263
tinystories,M2,M2 B16,16,8,143.0,3,254.72510782877603,1.4045506791673237,5.540169721354188,0.0055226299442800875,1,824.9159380793571,818.1688860058784,832.6298799365759
tinystories,M2,M2 B16,16,16,271.0,3,254.3420664469401,2.380892526306512,5.538636336276309,0.009349601183922883,1,1559.4516380224377,1548.7502589821815,1568.014389835298
tinystories,MDLM,MDLM,256,1,2.0,3,415.27464803059894,3.336969207913587,6.028907918450315,0.008016913128125866,1,24.833054980263114,24.734252132475376,25.48136841505766
tinystories,MDLM,MDLM,256,2,3.0,3,1150.5240478515625,5.6500120127319535,7.047960748078903,0.00491240665771926,1,38.04566082544625,37.6898730173707,40.844565723091364
tinystories,MDLM,MDLM,256,4,5.0,3,1155.7266031901042,13.555538726203514,7.052415709181072,0.011732178528463295,1,62.056498136371374,61.84565322473645,64.97071124613285
tinystories,MDLM,MDLM,256,8,9.0,3,612.48828125,16.49146440950132,6.417170044419258,0.02677324454218241,1,115.35521550104022,113.89176035299897,119.11969259381294
tinystories,MDLM,MDLM,256,16,17.0,3,284.55255126953125,1.657574192310707,5.650900986273126,0.005824748600991249,1,215.0502095464617,212.7099991776049,219.9880490079522
